label,review
0,"Expensive Junk . This product consists of a piece of thin flexible insulating material, adhesive backed velcro and white electrical tape.Problems:1. Instructions are three pictures with little more information.2. Velcro was all crumpled as received and was stronger than the adhesive. When i tried to disengage the velcro both pieces came off and the paint from the ceiling.3. White electrical tape was horrible... cheap, narrow and it fell off in less than 1 hour.4. The price is a ripoff.I am building my own which is easier to use, cheaper, more attractive, and higher r-value. I am surprised Amazon even lists this junk."
0,"Toast too dark . Even on the lowest setting, the toast is too dark for my liking. Also, the on light stays lit so you have to unplug it to avoid wasting electricity. Not the quality I expected from Cuisinart."
1,Excellent imagery...dumbed down story . I enjoyed this disc. The video is stunning. I agree with others that the story is very dumbed down and takes a childish approach. It actually seems like its a little one sided and VERY pro-environmental. Nevertheless its enjoyable. I would say however that the Amazon WMV HD disc is a better story and has better and sharper images and more interesting things to look at.
0,"Are we pretending everyone is married? . The authors pretend that parents neither die nor divorce. Insisting the marriage is the rock upon which all else (behavior, well-being of the child) is built, they send a clear message to non-traditional households: this book is for people who play the game of life our way only, and everyone else can suffer the bad behavior they deserve to."
0,"Not worth your time . Might as well just use a knife, this product holds next to nothing. I found it to be a useless product."
0,"Book reads like written for grade schoolers . I think that the whole aspect of hitting the road and going on tour with a band is just about the coolest thing that a person can do. Thus, this book seemed like the perfect read for someone like me. But when I got the book I was dissapointed in the fact that it seems like the author took five or six stories from the 'The Babysiters Club' or some other book for young kids, rewrote them to include drug and music references, and than sold it. The writing is just not very good and the stories are all lame. A girl's mother realizes her 16 year old daughter is right about being on tour, a girl runs from the cops and gets away, a ticket is fake, ect. Those in themselves aren't even that bad but the way he writes makes it a boring read."
0,"Jeanne de Florette & Manon of the Springs . I saw these movies originally in the theater, loved both and ordered them because I wanted to have it in my collection. I ordered it twice and neither of the DVDs worked. I would think you would check your merchandise before sending it out. I am so disappointed and can't believe that you could send out two defective DVDs and had not solved the problem after the first one plus some of the complaints I have read in the reviews. I am rating this with one star because of the quality of the DVD, not the films.Colleen"
0,"Theater Projector Ceiling Mount . Would not fit my new Optima HD20 projector -- as projectors get smaller the mounting holes get closer together -- this mount had four arms and the projector had three -- the mount had arms that would not get short enough to reach the three projector holes -- for larger projectors may work better, but for mine would not recommend -- returning it was very easy and the company representatives very helpful -- so if you get it and it doesn't work, the company is easy to work with --"
1,"This import is sooooooooooo good . This is a great cd!!!!!!!!! It is the normal oops! cd plus three cool new songs. Also there are lots of added extras that are inhansed on the cd, for example you get the lucky video, a fact file, and a britney unscrambler!!!!! The three bonus tracks are really nice but I wish that they could have been a little more up tempo. Just to clear something up it says in the discription that there is an exclusive oops preformance but there isn't!"
0,"Garbage . The handle broke clean off after TWO WEEKS. Not the plastic part, actually at the weld where the metal meets the pan. Wasn't overheated, wasn't abused, used 4 times and broke."
1,"Amazing, Fascinating . This was a stunning book. Well written, packed with fascinating detail, I wish I had ten more like it to turn to. Anyone looking for an inside view of a part of China's history would do well to pick up this book. It was a wonderful read."
0,"Not great . This book just gives you the basics unfortunately. Was not very helpful, I would suggest just doing research on the interweb instead."
0,superficial fluff . This book does not convey much of anything. Save your time and money. Read Searching for Bobby Fischer. The details and honesty are lacking in this made for MTV summary of kindergartener makes good.
1,"Great Album - some serious stuff . First off, I've bought ALL of Tonis other albums. This one took me three listenings to really get to like it. When I found out that it was about a child being born and how her life progressed, I found the work all the more interesting. Some of the songs really stick in your mind. If you see the Album as a story (of a girls life) it makes the Album much more interesting than just listening to the album song by song.Pink Floyd used to do this, have an album which was a theme or story, like The Wall album.I took the CD out of my colection after not listening to it for about 5 months, and have been playing it in my car on the way to work and home for over a week now.It's GREAT. And I'm not a female by the way.Nice ALbum. If you like Tonis other works,.....GET IT."
1,"good quality, but high shipping charge . the scratch resistant screen guard protector is fit perfectly on the screen of HTC cingular 8125. Quality of the screen guard protector is very good. only negative point is high shipping charge. it cost me $4.99 as shipping for buying this item which cost $ 3.49 amazon has to reduce the shipping charge, or reduce the shipping charge for combined items. any way best buy."
0,Couldn't even finish it. . I couldn't even finish the book. I got about half way through and realized I wasn't paying attention and didn't care. Nothing like Harry Potter - not fun at all. I can't recommend this at all!
1,Great choice for bedtime or anytime! . We were given this book as a shower gift before our kids were born and I was somewhat skeptical but it has turned out to be a favorite. Our daughter loves to name the animals and their sounds and has learned her colours from these wonderful books. The pictures are just right as is the wonderful text that is just enough repetition that she 'gets it' to participate with the reading. A great asset to your children's library... or shower gift for those people who have everything already!
1,"Fun for all ages! . Having received this video as a gift, we watched it as a family, accompanied by a lot of laughter and ""I didn't know that"". The kids managed to show this to most of their friends, the youngest even taking it to school where his 1st grade teacher used it as a part of her unit on Careers.The video is an overall winner. Anyone, any age, will enjoy the playful and informative story and all will come away with a greater understanding and respect for both the lobster and the lobsterman. BUY IT!"
1,Contemplating Marriage...a must read. . This book is used by many marriage counselors. But I believe if you are getting married this book should be required reading. It provides true insight to what makes us tick and how to keep the fire burning bright which should be every expecting to be couple's heart desire.
1,"Ran the Stoplight? . Listened to this CD closely for the first time in a while. I've forgotten how outstanding this CD is. While I have not heard Pure, I have ordered it hoping it that will be anything close to this CD - and hopefully far away from Dead Inside which is a whole different planet. Great vocals, great music, great lyrics, it has it all."
